subject_id,timepoint,mission_phase,hazard,baseline_hazard_relevance,current_hazard_relevance,delta_hazard_relevance,absolute_delta_hazard_relevance,contribution_share,coverage_fraction,attribution_rank,interpretation
Demo_Crew_01,T2_inflight,inflight,isolation_and_confinement,0.75,1.15,0.4,0.4,0.28824,0.16667,1,"Isolation and Confinement hazard-context alignment accounts for 29% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
Demo_Crew_01,T2_inflight,inflight,space_radiation,0.82038,1.07538,0.255,0.255,0.18375,0.8,2,"Space Radiation hazard-context alignment accounts for 18% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
Demo_Crew_01,T2_inflight,inflight,distance_from_earth,0.85,1.1,0.25,0.25,0.18015,0.2,3,"Distance from Earth hazard-context alignment accounts for 18% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
Demo_Crew_01,T2_inflight,inflight,hostile_closed_environments,0.812,1.055,0.243,0.243,0.17511,0.5,4,"Hostile / Closed Environments hazard-context alignment accounts for 18% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
Demo_Crew_01,T2_inflight,inflight,gravity_fields,0.84722,1.08694,0.23972,0.23972,0.17274,0.83333,5,"Gravity Fields hazard-context alignment accounts for 17% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
Demo_Crew_01,T3_post,postflight,isolation_and_confinement,0.75,1.3,0.55,0.55,0.26463,0.16667,1,"Isolation and Confinement hazard-context alignment accounts for 26% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
Demo_Crew_01,T3_post,postflight,distance_from_earth,0.85,1.25,0.4,0.4,0.19246,0.2,2,"Distance from Earth hazard-context alignment accounts for 19% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
Demo_Crew_01,T3_post,postflight,space_radiation,0.82038,1.20577,0.38539,0.38539,0.18543,0.8,3,"Space Radiation hazard-context alignment accounts for 19% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
Demo_Crew_01,T3_post,postflight,gravity_fields,0.84722,1.21972,0.3725,0.3725,0.17923,0.83333,4,"Gravity Fields hazard-context alignment accounts for 18% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
Demo_Crew_01,T3_post,postflight,hostile_closed_environments,0.812,1.1825,0.3705,0.3705,0.17826,0.5,5,"Hostile / Closed Environments hazard-context alignment accounts for 18% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
Demo_Crew_01,T4_recovery,recovery,isolation_and_confinement,0.75,0.88,0.13,0.13,0.26562,0.16667,1,"Isolation and Confinement hazard-context alignment accounts for 27% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
Demo_Crew_01,T4_recovery,recovery,distance_from_earth,0.85,0.95,0.1,0.1,0.20432,0.2,2,"Distance from Earth hazard-context alignment accounts for 20% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
Demo_Crew_01,T4_recovery,recovery,space_radiation,0.82038,0.90769,0.08731,0.08731,0.17839,0.8,3,"Space Radiation hazard-context alignment accounts for 18% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
Demo_Crew_01,T4_recovery,recovery,gravity_fields,0.84722,0.93333,0.08611,0.08611,0.17594,0.83333,4,"Gravity Fields hazard-context alignment accounts for 18% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
Demo_Crew_01,T4_recovery,recovery,hostile_closed_environments,0.812,0.898,0.086,0.086,0.17572,0.5,5,"Hostile / Closed Environments hazard-context alignment accounts for 18% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
Demo_Crew_02,T0_baseline,baseline,space_radiation,0.73692,0.73692,0.0,0.0,0.0,0.8,1,"Space Radiation hazard-context alignment accounts for 0% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
Demo_Crew_02,T0_baseline,baseline,isolation_and_confinement,0.72,0.72,0.0,0.0,0.0,0.16667,2,"Isolation and Confinement hazard-context alignment accounts for 0% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
Demo_Crew_02,T0_baseline,baseline,distance_from_earth,0.7,0.7,0.0,0.0,0.0,0.2,3,"Distance from Earth hazard-context alignment accounts for 0% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
Demo_Crew_02,T0_baseline,baseline,gravity_fields,0.72472,0.72472,0.0,0.0,0.0,0.83333,4,"Gravity Fields hazard-context alignment accounts for 0% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
Demo_Crew_02,T0_baseline,baseline,hostile_closed_environments,0.7345,0.7345,0.0,0.0,0.0,0.5,5,"Hostile / Closed Environments hazard-context alignment accounts for 0% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
Demo_Crew_02,T1_pre,pre_mission,hostile_closed_environments,0.7345,0.757,0.0225,0.0225,0.21541,0.5,1,"Hostile / Closed Environments hazard-context alignment accounts for 22% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
Demo_Crew_02,T1_pre,pre_mission,gravity_fields,0.72472,0.74667,0.02195,0.02195,0.21015,0.83333,2,"Gravity Fields hazard-context alignment accounts for 21% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
Demo_Crew_02,T1_pre,pre_mission,space_radiation,0.73692,0.75692,0.02,0.02,0.19148,0.8,3,"Space Radiation hazard-context alignment accounts for 19% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
Demo_Crew_02,T1_pre,pre_mission,isolation_and_confinement,0.72,0.74,0.02,0.02,0.19148,0.16667,4,"Isolation and Confinement hazard-context alignment accounts for 19% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
Demo_Crew_02,T1_pre,pre_mission,distance_from_earth,0.7,0.72,0.02,0.02,0.19148,0.2,5,"Distance from Earth hazard-context alignment accounts for 19% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
Demo_Crew_02,T2_inflight,inflight,isolation_and_confinement,0.72,1.05,0.33,0.33,0.24844,0.16667,1,"Isolation and Confinement hazard-context alignment accounts for 25% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
Demo_Crew_02,T2_inflight,inflight,hostile_closed_environments,0.7345,1.003,0.2685,0.2685,0.20214,0.5,2,"Hostile / Closed Environments hazard-context alignment accounts for 20% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
Demo_Crew_02,T2_inflight,inflight,distance_from_earth,0.7,0.95,0.25,0.25,0.18821,0.2,3,"Distance from Earth hazard-context alignment accounts for 19% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
Demo_Crew_02,T2_inflight,inflight,space_radiation,0.73692,0.97808,0.24116,0.24116,0.18156,0.8,4,"Space Radiation hazard-context alignment accounts for 18% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
Demo_Crew_02,T2_inflight,inflight,gravity_fields,0.72472,0.96333,0.23861,0.23861,0.17964,0.83333,5,"Gravity Fields hazard-context alignment accounts for 18% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
Demo_Crew_02,T3_post,postflight,isolation_and_confinement,0.72,1.15,0.43,0.43,0.24281,0.16667,1,"Isolation and Confinement hazard-context alignment accounts for 24% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
Demo_Crew_02,T3_post,postflight,distance_from_earth,0.7,1.05,0.35,0.35,0.19764,0.2,2,"Distance from Earth hazard-context alignment accounts for 20% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
Demo_Crew_02,T3_post,postflight,hostile_closed_environments,0.7345,1.082,0.3475,0.3475,0.19623,0.5,3,"Hostile / Closed Environments hazard-context alignment accounts for 20% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
Demo_Crew_02,T3_post,postflight,space_radiation,0.73692,1.06423,0.32731,0.32731,0.18482,0.8,4,"Space Radiation hazard-context alignment accounts for 18% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
Demo_Crew_02,T3_post,postflight,gravity_fields,0.72472,1.04083,0.31611,0.31611,0.1785,0.83333,5,"Gravity Fields hazard-context alignment accounts for 18% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
Demo_Crew_02,T4_recovery,recovery,isolation_and_confinement,0.72,0.8,0.08,0.08,0.22917,0.16667,1,"Isolation and Confinement hazard-context alignment accounts for 23% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
Demo_Crew_02,T4_recovery,recovery,distance_from_earth,0.7,0.78,0.08,0.08,0.22917,0.2,2,"Distance from Earth hazard-context alignment accounts for 23% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
Demo_Crew_02,T4_recovery,recovery,hostile_closed_environments,0.7345,0.802,0.0675,0.0675,0.19336,0.5,3,"Hostile / Closed Environments hazard-context alignment accounts for 19% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
Demo_Crew_02,T4_recovery,recovery,gravity_fields,0.72472,0.78861,0.06389,0.06389,0.18302,0.83333,4,"Gravity Fields hazard-context alignment accounts for 18% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
Demo_Crew_02,T4_recovery,recovery,space_radiation,0.73692,0.79462,0.0577,0.0577,0.16529,0.8,5,"Space Radiation hazard-context alignment accounts for 17% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
